Priority,Candidate Title,Primary Keyword,Database,Snapshot Date,Search Volume,Keyword Difficulty,Intent,Cluster,Content Type,Reader Task,Evidence Plan,Cannibalization Boundary,Disposition
P1,API Documentation Example: One Complete Endpoint,api documentation example,us-ahrefs,2026-08-17,300,2,Informational,API documentation,Evidence-led teardown,See one endpoint documented from authentication through error recovery,"Publish one complete endpoint doc for the sample API with request, response, errors, and expected output",Owns the single worked endpoint; does not repeat component definitions or the multi-page template,Killed - Published 2026-08-17 as api-documentation-examples-what-the-best-developer-portals-get-right
P1,API Documentation Template: The Pages Every API Needs,api documentation template,us-ahrefs,2026-08-17,350,1,Informational,API documentation,Downloadable template,Start an API docs project from a complete page outline,Publish a template repo with every required page stubbed and a review checklist,Owns the API-specific page inventory; the general technical-documentation template owns product docs structure,Killed - Published 2026-08-17 as api-documentation-template-the-pages-every-api-needs
P1,API Documentation Tools: A Hands-On Comparison for Small Teams,api documentation tools,us-ahrefs,2026-08-17,350,34,Commercial,API documentation,Tested comparison,Choose an API documentation tool without replatforming twice,"Publish the same sample API in at least five tools; score setup, OpenAPI support, search, versioning, SEO controls",Owns API-specific tooling only; the documentation-software page owns general docs platform choice,Killed - Published 2026-08-17 as api-documentation-tools-hands-on-comparison-small-teams
P1,API Reference vs API Guides: Where Each Answer Belongs,api reference,us-ahrefs,2026-08-17,350,2,Informational,API documentation,Practical explainer,Stop forcing task guidance into endpoint reference pages,"Show one task answered wrongly in reference and correctly in a guide, using the sample API",Owns the reference/guide boundary; the anchor owns the full system,On hold - HIGH cannibalization risk: the published best-practices anchor owns the reference-vs-guides boundary
P1,Docs as Code: A Working Git-Based Documentation Workflow,docs as code,us-ahrefs,2026-08-17,690,5,Informational,Docs as code,Anchor,"Run documentation through branches, review, linting, and deploy","Public repo with PR previews, link checks, linting, and a real deploy; include what failed",Owns the docs-as-code workflow and absorbs 'documentation as code' and 'what is docs as code'; the tools page owns platform selection,Backlog
P1,Technical Documentation Software: How to Choose Without Replatforming Twice,technical documentation software,us-ahrefs,2026-08-17,1570,3,Commercial,Docs as code,Tested comparison,Choose a documentation platform against real constraints,"Decision matrix tested against team size, Git support, API reference needs, SEO controls, portability",Owns platform selection and absorbs 'documentation tools' and 'documentation software'; the API-tools page owns API-specific workflows,Backlog
P1,"llms.txt: What It Is, What It Does, and What It Does Not Do",llms.txt,us-ahrefs,2026-08-17,6200,39,Informational,AI-ready documentation,Anchor,Decide whether to publish an llms.txt file and what to put in it,Read and validate real llms.txt files from live documentation sites; preserve dated receipts; state limits,"Owns the definitional cluster including 'what is llms.txt' and 'llms.txt file'; the implementation guide owns file construction, the generator owns the tool",Backlog
P1,llms.txt Format and Implementation Guide,llms.txt format,us-ahrefs,2026-08-17,250,,Informational,AI-ready documentation,Implementation guide,Write and validate an llms.txt file by hand,Build files for at least three documentation-site shapes and validate each against the spec,Owns construction and validation; the anchor owns definition and limits,Backlog
P2,Semantic Chunking for Documentation RAG: A Reproducible Benchmark,semantic chunking,us-ahrefs,2026-08-17,350,5,Informational,AI-ready documentation,Benchmark,Choose a chunking strategy for a documentation corpus using evidence,"Public corpus, chunking code, queries, relevance labels, raw results comparing heading-aware, fixed-token, recursive, semantic",Owns the measured comparison; the chunking-strategies page owns the conceptual tradeoffs,Backlog
P2,AI Code Documentation: What to Automate and What to Verify,ai code documentation,us-ahrefs,2026-08-17,350,7,Informational,AI-ready documentation,Practical explainer,Use AI for code documentation without shipping invented behavior,Document one small repo with and without AI assistance; record what needed correction,Owns AI-assisted code documentation; the code-documentation page owns comments and reference output,Backlog
P1,Technical Documentation: A Practical Guide for Product Teams,technical documentation,us-ahrefs,2026-08-17,3100,12,Informational,Documentation foundations,Pillar,Understand the documentation surface a product needs and where each page belongs,Map one real product's full documentation set and link each page type to a published guide,Pillar that routes to cluster pages and absorbs 'technical document'; does not repeat the definitional page or the template,Backlog
P2,"Software Documentation: Types, Audiences, and What Each Must Prove",what is software documentation,us-ahrefs,2026-08-17,1640,7,Informational,Documentation foundations,Practical explainer,Distinguish software documentation from product and technical documentation,Compare three real repos' documentation sets against the type map,Owns the software-documentation term family and absorbs 'program documentation'; the types page owns format selection,Backlog
P2,Good Documentation Practices That Survive a Release,good documentation practices,us-ahrefs,2026-08-17,700,6,Informational,Documentation foundations,Practical explainer,Apply documentation practices that hold up after a product change,Take one documented feature through a breaking change and record what broke in the docs,Owns practices under change; the tested best-practices page owns the review card criteria,Backlog
P2,"Product Documentation: Scope, Owners, and Release Triggers",product documentation,us-ahrefs,2026-08-17,400,0,Informational,Documentation foundations,Practical explainer,Define what product documentation covers and who maintains it,Publish an ownership matrix and release-trigger table from a real release cycle,Owns product-documentation scope and ownership; does not repeat definitions or types,Backlog
P2,"Code Documentation: Comments, Generated Reference, and External Guides",code documentation,us-ahrefs,2026-08-17,600,20,Informational,Formats,Repository-based guide,Decide what belongs in comments versus generated reference versus a guide,Document one small codebase badly and well; show generated output and copy-paste tests,Owns the comments/reference/guide boundary; the AI code documentation page owns automation,Backlog
P2,Technical Requirements Document Template for Developer Products,requirements document,us-ahrefs,2026-08-17,600,7,Informational,Formats,Downloadable template,Turn product constraints into testable requirements before implementation,Build and validate a requirements template against a small API or CLI project,Owns pre-implementation requirements; the technical-documentation template owns published user docs,Backlog
P1,Documentation Information Architecture for Developer Products,documentation information architecture,us-ahrefs,2026-08-17,0,,Informational,Documentation foundations,Merge target,Turn an unstructured page list into navigation a reader can predict,Absorbs the homepage-routing and task-heading research already published; re-verify all inspected sites,"Merged page owns site structure, homepage routing, and heading construction; the two merged URLs 301 here",Backlog
