Order,Release Date,Title,Reader Outcome,Tier,Cluster,Status,Published Date,URL,Commit SHA,GSC Baseline Date,Last GSC Check,Skip Reason,Canonical URL
11,2026-08-09,Documentation Accessibility Checklist,"Make headings, code, links, tables, and visuals accessible.",Focused,Documentation foundations,Planned,,,,,,,
12,2026-08-10,How to Write Task-Based Documentation Headings,Replace vague topic labels with scannable reader tasks.,Focused,Documentation foundations,Planned,,,,,,,
13,2026-08-11,What a Documentation Homepage Must Help Users Do,Design a useful entry point rather than a card wall.,Focused,Documentation foundations,Planned,,,,,,,
14,2026-08-12,"How to Audit Broken Links, Redirects, and Canonicals in Docs",Find crawl and migration defects.,Focused,Documentation foundations,Planned,,,,,,,
15,2026-08-13,How to Document Multiple Product Versions,Prevent users and search engines from landing on the wrong version.,Focused,Documentation foundations,Planned,,,,,,,
16,2026-08-14,"API Documentation Best Practices: Reference, Guides, and Working Requests",Build an API docs system that gets developers to successful requests.,Anchor,API documentation,Planned,,,,,,,
17,2026-08-15,API Documentation Examples: What the Best Developer Portals Get Right,Learn from developer portals without copying surface-level design.,Anchor,API documentation,Planned,,,,,,,
18,2026-08-16,API Documentation Tools: A Hands-On Comparison for Small Teams,Choose an API documentation tool based on actual workflow needs.,Anchor,API documentation,Planned,,,,,,,
19,2026-08-17,API Documentation Template: The Pages Every API Needs,Start an API docs project from a complete outline.,Practical,API documentation,Planned,,,,,,,
20,2026-08-18,"What Is API Documentation? Reference, Guides, and Examples",Understand the components of an API docs system.,Practical,API documentation,Planned,,,,,,,
21,2026-08-19,API Reference vs. API Guides: Where Each Answer Belongs,Stop forcing every task into endpoint reference pages.,Practical,API documentation,Planned,,,,,,,
22,2026-08-20,How to Document API Authentication,"Explain keys, OAuth, scopes, expiry, and failed authentication.",Practical,API documentation,Planned,,,,,,,
23,2026-08-21,How to Document API Errors,Turn codes and messages into actionable recovery steps.,Practical,API documentation,Planned,,,,,,,
24,2026-08-22,How to Document API Pagination,"Show cursors, limits, ordering, and complete iteration.",Focused,API documentation,Planned,,,,,,,
25,2026-08-23,How to Document Webhooks,"Cover payloads, signing, retries, ordering, and testing.",Focused,API documentation,Planned,,,,,,,
26,2026-08-24,How to Write API Code Examples Developers Can Run,Produce complete requests with expected responses.,Focused,API documentation,Planned,,,,,,,
27,2026-08-25,REST API Documentation Example: A Complete Endpoint,See one endpoint documented from authentication through errors.,Focused,API documentation,Planned,,,,,,,
28,2026-08-26,OpenAPI Documentation Best Practices,"Improve descriptions, examples, schemas, and generated output.",Focused,API documentation,Planned,,,,,,,
29,2026-08-27,Interactive API Documentation: When Try-It Consoles Help,Decide when interactivity improves or harms the workflow.,Focused,API documentation,Planned,,,,,,,
30,2026-08-28,API Documentation Checklist Before Release,"Verify coverage, accuracy, examples, and version behavior.",Focused,API documentation,Planned,,,,,,,
31,2026-08-29,Docs as Code: A Working Git-Based Documentation Workflow,Implement a reliable Git-based documentation workflow.,Anchor,Docs as code,Planned,,,,,,,
32,2026-08-30,Technical Documentation Software: How to Choose Without Replatforming Twice,Choose a platform based on the team's actual constraints.,Anchor,Docs as code,Planned,,,,,,,
33,2026-08-31,Documentation Maintenance: A Workflow That Keeps Docs Current,Keep documentation aligned with product releases.,Anchor,Docs as code,Planned,,,,,,,
34,2026-09-01,Docs-as-Code Tools: The Minimum Stack You Actually Need,"Choose authoring, preview, linting, and deployment tools.",Practical,Docs as code,Planned,,,,,,,
35,2026-09-02,"Docs-as-Code Example Repository, Explained File by File",Understand a working repository without copying blindly.,Practical,Docs as code,Planned,,,,,,,
36,2026-09-03,Documentation Workflow From Issue to Published Page,Define ownership and handoffs.,Practical,Docs as code,Planned,,,,,,,
37,2026-09-04,Documentation Automation That Is Safe to Trust,Automate mechanical work without inventing content.,Practical,Docs as code,Planned,,,,,,,
38,2026-09-05,Automated API Documentation From OpenAPI,Generate reference while preserving human-written guidance.,Practical,Docs as code,Planned,,,,,,,
39,2026-09-06,Documentation Testing: What You Can Validate in CI,"Test links, structure, spelling, code, and builds.",Focused,Docs as code,Planned,,,,,,,
40,2026-09-07,Documentation Linting With Vale and Markdownlint,Enforce useful rules without fighting every sentence.,Focused,Docs as code,Planned,,,,,,,
41,2026-09-08,How to Add a Broken-Link Check to Documentation CI,Catch dead internal and external links before release.,Focused,Docs as code,Planned,,,,,,,
42,2026-09-09,Preview Deployments for Documentation Pull Requests,Let reviewers inspect the rendered change.,Focused,Docs as code,Planned,,,,,,,
43,2026-09-10,Documentation Versioning in Git,"Align product, branch, and published documentation versions.",Focused,Docs as code,Planned,,,,,,,
44,2026-09-11,Documentation Ownership: A Practical Maintainer Model,Assign accountable owners without creating a bottleneck.,Focused,Docs as code,Planned,,,,,,,
45,2026-09-12,Documentation Migration Checklist,"Move platforms without losing URLs, metadata, or search equity.",Focused,Docs as code,Planned,,,,,,,
46,2026-09-13,"Technical Documentation Examples: Tutorials, How-To Guides, Reference, and Explanation",See four complete documentation formats for the same product.,Anchor,Documentation formats,Planned,,,,,,,
47,2026-09-14,Troubleshooting Guide Template: Write Answers Developers Can Actually Use,Create troubleshooting content that leads to resolution.,Anchor,Documentation formats,Planned,,,,,,,
48,2026-09-15,Developer Onboarding Checklist for API and DevTools Products,Find and remove friction from first-use documentation.,Anchor,Documentation formats,Planned,,,,,,,
49,2026-09-16,Tutorial vs. How-To vs. Reference vs. Explanation,Choose the right document type for the reader task.,Practical,Documentation formats,Planned,,,,,,,
50,2026-09-17,How to Write a Technical Tutorial That Survives Copy-Paste,Build and test a complete learning path.,Practical,Documentation formats,Planned,,,,,,,
51,2026-09-18,How-To Documentation Template,Write a focused procedure for a known goal.,Practical,Documentation formats,Planned,,,,,,,
52,2026-09-19,Reference Documentation Template,"Record parameters, behavior, constraints, and examples consistently.",Practical,Documentation formats,Planned,,,,,,,
53,2026-09-20,How to Write Explanation Documentation,Teach concepts and tradeoffs without hiding task pages.,Practical,Documentation formats,Planned,,,,,,,
54,2026-09-21,Release Notes Best Practices for Developer Products,"Communicate impact, required action, and migration details.",Focused,Documentation formats,Planned,,,,,,,
55,2026-09-22,"Changelog Best Practices: Structure, Links, and Automation",Maintain a useful chronological product record.,Focused,Documentation formats,Planned,,,,,,,
56,2026-09-23,How to Write an API Changelog,"Track breaking changes, deprecations, and new behavior.",Focused,Documentation formats,Planned,,,,,,,
57,2026-09-24,SDK Documentation Best Practices,"Document installation, initialization, methods, and language differences.",Focused,Documentation formats,Planned,,,,,,,
58,2026-09-25,CLI Documentation Best Practices,"Cover commands, flags, output, exit codes, and shell examples.",Focused,Documentation formats,Planned,,,,,,,
59,2026-09-26,README Best Practices for Developer Tools,Move users from repository landing page to first success.,Focused,Documentation formats,Planned,,,,,,,
60,2026-09-27,How to Document Error Messages,"Connect exact messages to causes, fixes, and escalation.",Focused,Documentation formats,Planned,,,,,,,
61,2026-09-28,Free llms.txt Generator and Checker for Documentation Sites,Generate and validate an llms.txt file without inflated promises.,Anchor,AI-ready documentation,Planned,,,,,,,
62,2026-09-29,Does llms.txt Improve AI Visibility? A Controlled Documentation Test,Understand whether llms.txt changes crawler or citation behavior.,Anchor,AI-ready documentation,Planned,,,,,,,
63,2026-09-30,Semantic Chunking for Documentation RAG: A Reproducible Benchmark,Choose a retrieval chunking strategy using real evidence.,Anchor,AI-ready documentation,Planned,,,,,,,
64,2026-10-01,"What Is llms.txt, and What Is It Not?",Understand the proposal without inflated promises.,Practical,AI-ready documentation,Planned,,,,,,,
65,2026-10-02,llms.txt Format and Implementation Guide,Create and validate a file manually.,Practical,AI-ready documentation,Planned,,,,,,,
66,2026-10-03,robots.txt for AI Crawlers: A Documentation-Site Guide,Decide which crawlers can access which content.,Practical,AI-ready documentation,Planned,,,,,,,
67,2026-10-04,AI-Ready Documentation Checklist,Improve structure and retrievability without keyword theater.,Practical,AI-ready documentation,Planned,,,,,,,
68,2026-10-05,Document Chunking Strategies for RAG,Choose a chunking method for a documentation corpus.,Practical,AI-ready documentation,Planned,,,,,,,
69,2026-10-06,Heading-Aware Chunking for Technical Documentation,Preserve task and section context during retrieval.,Focused,AI-ready documentation,Planned,,,,,,,
70,2026-10-07,Fixed-Token vs. Recursive vs. Semantic Chunking,Understand operational tradeoffs before benchmarking.,Focused,AI-ready documentation,Planned,,,,,,,
71,2026-10-08,Metadata for Documentation RAG,"Attach product, version, language, and page-type filters.",Focused,AI-ready documentation,Planned,,,,,,,
72,2026-10-09,Hybrid Search for Documentation,Combine exact error-code matching with semantic retrieval.,Focused,AI-ready documentation,Planned,,,,,,,
73,2026-10-10,Reranking Documentation Search Results,Improve ordering after initial retrieval.,Focused,AI-ready documentation,Planned,,,,,,,
74,2026-10-11,How to Evaluate a Documentation Chatbot,"Build answer, citation, refusal, and freshness tests.",Focused,AI-ready documentation,Planned,,,,,,,
75,2026-10-12,AI Chatbot for Documentation: A Reference Architecture,"Connect ingestion, retrieval, generation, citations, and feedback.",Focused,AI-ready documentation,Planned,,,,,,,
76,2026-10-13,"Code Documentation Best Practices: Comments, Examples, and Reference Pages","Choose what belongs in code, comments, examples, and external docs.",Anchor,Technical content,Planned,,,,,,,
77,2026-10-14,SEO Content Brief Template for Technical Blog Posts,"Plan a technical article around intent, proof, and maintainability.",Anchor,Technical content,Planned,,,,,,,
78,2026-10-15,Documentation Metrics: How to Measure Whether the Docs Work,Measure task success and documentation quality without vanity metrics.,Anchor,Technical content,Planned,,,,,,,
79,2026-10-16,How to Write a Technical Blog Post for Developers,Turn a technical reader task into a credible article.,Practical,Technical content,Planned,,,,,,,
80,2026-10-17,"Technical Blog Examples: Tutorials, Benchmarks, and Teardowns",Choose a format based on the evidence available.,Practical,Technical content,Planned,,,,,,,
81,2026-10-18,How to Write Code Examples for Technical Content,"Make snippets complete, focused, and testable.",Practical,Technical content,Planned,,,,,,,
82,2026-10-19,Runnable Code Examples: A Validation Workflow,"Test dependencies, setup, output, cleanup, and failure paths.",Practical,Technical content,Planned,,,,,,,
83,2026-10-20,Should This Be Documentation or a Blog Post?,Put durable product guidance and discovery content in the right place.,Practical,Technical content,Planned,,,,,,,
84,2026-10-21,Technical Content Marketing for Developer Products,Build trust and demand without disguising marketing as engineering.,Focused,Technical content,Planned,,,,,,,
85,2026-10-22,B2B SaaS Technical Content Strategy,"Connect problem-led content, product proof, and conversion.",Focused,Technical content,Planned,,,,,,,
86,2026-10-23,Blog SEO Checklist for Technical Articles,"Validate intent, structure, metadata, links, and page experience.",Focused,Technical content,Planned,,,,,,,
87,2026-10-24,How to Write a Developer Tutorial With a Real Test Environment,Design a reproducible build rather than decorative code.,Focused,Technical content,Planned,,,,,,,
88,2026-10-25,Technical Content Maintenance: When and How to Update,"Set triggers for versions, rankings, links, and factual changes.",Focused,Technical content,Planned,,,,,,,
89,2026-10-26,How to Measure Technical Content Performance,"Track qualified discovery, product usage, links, and assisted leads.",Focused,Technical content,Planned,,,,,,,
90,2026-10-27,How to Turn Documentation Research Into a Technical Blog Post,Reuse evidence without duplicating the documentation page.,Focused,Technical content,Planned,,,,,,,
